,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85
0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851448702182605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007711136983386,1.0,1.0,0.9014447799378293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,12.0,0.04828912748641663,0.6609392613260697,0.4340796366561895,0.7663184280807568,0.40036770046559184,0.696693364450208,0.2560119613857161,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.22266627514193732,0.5251155650422273,0.5272073574709173,0.5899705713871405,0.7844001006598884,0.5615262640108948,0.8046936387352247,0.19417146846424344,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.34905949008663684,0.2371543366317823,0.8419322030634366,0.6412635490651867,0.8933428176877657,0.8656293159209378,0.6263234926777427,0.3623184973943551,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.41426508174390014,0.40165143063842884,0.6037163056202849,0.727134423275032,0.8303389993981374,0.6919690024120371,0.9940467021295681,0.23873991973283698,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914,0.40312989173651914
2,14.0,0.502015717931742,0.48858659891617773,0.5358686523666684,0.798796770174426,0.5334027145014848,0.3163356908142126,0.7522218981885563,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.7501608982217416,0.9536255815576075,0.6620291923634366,0.7329901600626841,0.8562842666510161,0.6755215086107974,0.5130241113272238,0.7341287945721939,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.7241120250545972,0.8564352573103954,0.807453477959525,0.6816502796461058,0.7653938047472223,0.9268184037774672,0.6109801867607157,0.7876838285848216,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,0.8617481688623602,1.0,0.7422882427270314,0.8286114267898378,1.0,0.7754170046590237,0.7162614698199308,0.8257956642388167,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521,0.8185973703787521
3,16.0,0.2206299014261182,0.40749232293212334,0.32986110136838553,0.3927090235426308,0.3635042899065369,0.41075322421853483,0.18505565175337463,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.1799571345271696,0.33008451224880914,0.5755341161806271,0.5307003822053311,0.46381439602148705,0.47584202334792935,0.49044977265633544,0.1689969394951702,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.32185425508647564,0.48442905062037483,0.8495554882519205,0.716426867153939,0.4397506115865547,0.5666484977202044,0.5181044104680746,0.34879548399294663,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.4820191417462006,0.517644697481672,0.7747192704744997,0.5414723488365406,0.607400244776139,0.510545416500594,0.5368455817696257,0.26476541586773533,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129,0.3988015426065129
4,18.0,0.38371270648186256,0.36375064979220345,0.597239493020761,0.5539684433535613,0.5543661237456685,0.597657659834066,0.7416312421687855,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.8376030685550995,0.626635659341454,0.6522711628555199,0.6429391769760746,0.5127026210294076,0.5229914682145247,0.5666624514254726,0.5751364792552325,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.6448114086246812,0.4593237859582948,0.7825985162243834,0.7145787313150566,0.42416237399764956,0.442272838843972,0.3005826828946384,0.46325945172507255,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.6490915542629184,0.35715327676730674,0.40138836746264495,0.6421178620524693,0.5489275135689238,0.5036636416652559,0.5844242619801951,0.4759189501909726,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574,0.4667516628228574
5,20.0,0.4780216165304639,0.5412659350664619,0.5761186255809404,0.6595173676175131,0.6888546422086548,0.6495260242988173,0.3826647634658714,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,0.5428531077890556,1.0,0.6563643360598527,0.46651022722579993,0.5153628340314934,0.49674510966278335,0.4582066029362848,0.4199979678420559,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.56515833241254,0.7288505446382465,0.8025636473197779,0.7018603331988794,0.6147910535346927,0.722771604318719,0.6370979788642995,0.5750938339268035,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.556295594217165,0.7321461697319437,0.8660794008440017,0.4192282320092472,0.34720512911024987,0.3810194361605295,0.37355358016146656,0.297647128356994,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407,0.4376279762051407
6,22.0,0.11079214303157253,0.39295509809946905,0.627920600056905,0.7561360305695886,0.7368700158938434,0.7412215914532111,0.4387231132663154,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5213568852766004,0.5497893661283344,0.3624200431123712,0.5596173991963738,0.670570070243608,0.647616321014844,0.6441300703149575,0.26560330357759665,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.2890574043352305,0.3464592312243017,0.5724472726618423,0.5012860773435821,0.5071934847270305,0.5547042977049639,0.2515809866524914,0.16406437601131363,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.2928886778699094,0.335433418775224,0.022901932891030253,0.5330058060048373,0.5728879036122116,0.6198052227218886,0.7749326912075525,0.3935224664482013,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589,0.3885456647648589
7,24.0,0.4967745527271881,0.5790199318372765,0.5544025594550019,0.5153936479062159,0.3234637800100427,0.22598624621204363,0.43378411099741293,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.5788078486216484,0.28273781572088996,0.654169127892025,0.5601587110823117,0.5638993480955512,0.46835096401817006,0.4069388376175266,0.5663259030573973,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.694440283807817,0.35738125416455524,0.7398490217314335,0.5925052297052231,0.515319842164095,0.5297648100601149,0.5533459127331641,0.7244846240902368,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.6892837317480335,0.40060663675169284,0.8142190670695775,0.3771953396363791,0.4992077666643914,0.45101343162568885,0.4061951845199707,0.42856439905934146,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484,0.5665586139256484
8,26.0,0.5239863192845688,0.17229416130759417,0.5250862459765264,0.35865369759357724,0.10483962239299212,0.19740543012742282,0.12805654157376153,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.21027443337780624,0.47469754265968556,0.43543922305976407,0.49969468100945785,0.35266775584943083,0.23146321867440864,0.2882951526306909,0.1679947253815421,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.12453054754628669,0.5221552821004656,0.5667322443454593,0.3156072816385422,0.16689166939410324,0.2561716503327194,0.2750588388973941,0.20541626734102153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.17500009083866153,0.6502788693136756,0.3672037145307647,0.44231095825003564,0.5392380445169758,0.3766542124748094,0.32139430788354484,0.14456850885560396,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117,0.10423681882469117
9,28.0,0.13552296900580135,0.3784231270987469,0.5357399803014841,0.26992845771125396,0.44704821699077524,0.34645871752873575,0.4820848473369372,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.538192942429614,0.18868005418966458,0.6571566101174917,0.4732468898207097,0.23173474087043894,0.31699035638398193,0.2348060913194679,0.4202721632426676,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.4488474141680391,0.28094290349424444,0.6399821040901207,0.3777100541852855,0.22476292008945306,0.2854063935839556,0.19125767825424037,0.41190507340708565,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.3897562057626681,0.2850362381239338,0.43162063275764506,0.3883276527323412,0.32823650164927115,0.23922001440695415,0.38110424103705776,0.3419027871165746,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113,0.42872511194159113
