,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59
0,10.0,0.5779155153002438,1.0,0.705092648818034,1.0,0.746752747012835,1.0,1.0,1.0,1.0,1.0,1.0,0.6985142436079343,1.0,0.5674928224324411,1.0,0.8519959726122078,0.30707957029444244,1.0,0.11893088496729323,1.0,0.6288286539008209,1.0,0.8267033758587939,1.0,0.9955438571827315,1.0,0.9625624456955023,1.0,0.8758160583196624,1.0,0.7382358543385731,0.9769508334605449,1.0,0.6989851419185281,0.8826437881688222,1.0,0.9983961429489694,0.8642770395330818,1.0,0.32030922649105364,0.9537446673555616,0.4344612951508288,1.0,0.9359084203558357,1.0,1.0,1.0,1.0,0.19855578557945397,1.0,0.7102490414639349,1.0,1.0,0.6218874682906772,1.0,0.4182883842866665,1.0,0.36909293463623477,1.0
1,12.0,0.9263149759633585,0.8801910801293519,0.9482802399926,0.8083281644866303,1.0,0.47398361874800526,0.9794734933079687,0.7246908059876191,0.7940043314234999,0.8256671885427213,0.623167350828813,0.6454235806781208,0.36893904195599264,0.8938561414515896,0.33700163134740635,0.5765436908637315,0.7141937193623284,0.5976796460853849,0.6377377768749086,0.8239853549500524,0.8734274346519366,0.8264524965760507,1.0,0.8249164883671127,1.0,0.40643276511329357,1.0,0.7475597053731642,1.0,0.4079610452438813,0.6393359983505303,0.5928645251899267,0.4413075181671772,1.0,0.5153326208246454,0.33025368450646964,1.0,1.0,0.5570400755439436,0.6866069250212823,0.799110206441216,0.7304638246322013,0.8153613218709609,1.0,0.5381178522187078,0.6294138170681924,0.9174456427028868,0.8037109587149105,0.8937084693679543,0.31968779816417275,0.20132169620925222,0.3789945542042652,0.5173046605123236,0.6569766602832096,0.48425810505185474,0.8325210805663146,0.7515593189912174,0.7953151330765136,0.6800678478010416
2,14.0,1.0,0.8247425407212723,1.0,0.518314459223764,0.9627242314205765,0.7371366351125342,0.8749845986368787,0.5285071626453524,0.7309392376647121,0.6921489296653832,0.9575480331086141,0.9890296028328541,0.34671909354385483,1.0,0.6645760589871449,1.0,0.7942331495090253,0.2768517464732962,1.0,0.8955067846850622,1.0,0.7392978671558467,0.8994118795479816,0.5117162495192215,0.9136242170577344,0.6625067428683629,0.9613182199649731,0.5515212015222981,0.8321884825555081,0.09057985449664645,1.0,1.0,0.1924235740178364,0.9307756037093953,1.0,0.1085734253622292,0.8768051055225885,0.8438384727884601,0.4358492538868053,1.0,0.9949459466250724,0.9688805103040429,0.4224314336271252,0.6902048119346467,0.727895112088864,0.38902068202301443,0.7899647210471635,0.7857559658015012,1.0,0.77818094491483,0.5919752139745661,0.7651053452039764,0.8339784879557114,1.0,0.5876485266253543,1.0,0.2955777160365699,1.0,0.5415635752391502
3,16.0,0.12793655045019084,0.7740889951879638,0.8431353294880745,0.4345374206195755,0.5761382713485226,0.8615701906819184,0.742663786209544,0.6117192082288914,0.7159312428955815,0.3084554761656246,0.650332386080391,0.7441368434093151,0.32466284908107407,0.7503070981552928,0.521749908310868,0.3122000059599348,0.521409738129143,0.4281105067507113,0.8654304643874332,0.6672374272318936,0.6895338302242752,0.7579648172626757,0.6061020517448911,0.35443266579748633,0.5908741554805123,0.8817568160906541,0.849670546474495,0.5956773378524031,0.3428196915101508,0.2299059355157086,0.5870548709967304,0.7795176187803917,0.019818366275686956,0.40800168913805795,0.6987376803721131,0.1581793686569385,0.6151230256220063,0.5180517274287464,0.5256870714494243,0.7078509216379065,1.0,1.0,0.3085863320962985,0.2934987567409324,0.7424404950464243,0.6366071628791616,0.7149954317623429,0.7692239797592987,0.4540328143979618,0.4758469509203968,0.1774694859445318,0.5671138972365964,0.8844110835107533,0.41287036398947974,0.4381795246164971,0.7093061886653746,0.09280080406912536,0.7365879039702504,0.2978637828772313
4,18.0,0.7589266707692486,0.6828455331746661,0.6214430106041825,0.5632049915040892,0.2685991938660584,0.6541433236140817,0.7036718982889383,0.7145151123596706,0.7995425461182495,0.1725718627037831,0.06143159277548315,0.9337143473707993,0.1870966158694972,0.45177181956255646,0.08938239756220635,0.6110859325894666,0.8260225904967715,0.6432087771399924,0.6168565262614387,0.4111232075005457,0.9170269116176637,0.7641860315822501,0.45503634065596155,0.5228734091278587,0.4357225568869629,0.6696299378486724,0.7706660738171771,0.6787644343899868,0.547848330931716,0.25249987921676387,0.23609161766736245,0.4443796125648688,0.3379719142560363,0.7986204464904422,0.35471580741487485,0.10410063835949653,0.4076707256209413,0.3189790675608954,0.5142213630445732,0.17376319295842735,0.8413540725946109,0.9313130561925451,0.668616855567086,0.6839821414021298,0.8064088994857105,0.7818984472269834,0.7547591177651556,0.7502255188123093,0.4473475221995298,0.18148441878039792,0.6228358508342249,0.38145295802899215,0.6738636642138712,0.3413644009556954,0.09760649134402281,0.2676827212705227,0.20183349666663672,0.4335034412380797,0.06767256101299876
5,20.0,0.8276733878336664,0.6301259225121637,0.5245324371261536,0.6734546236392419,0.31377438484143794,0.44925150290471927,0.7464683744877574,0.6718496723687414,0.7766790349508473,0.43352524856374564,0.4482266607955833,0.6997112634509597,0.1057290560121263,0.28305386815847794,0.3429201229533881,0.8084852958034942,1.0,0.6710525985360597,0.5380261278310496,0.39428716944849357,0.8344601038176699,0.7178014393612651,0.6017646409139517,0.6866926835509454,0.6142761700828585,0.3692826777175076,0.7752418984739533,0.6661463578311023,0.6885017776384915,0.23233952888267603,0.47175446233776025,0.4895695688762339,0.40423051392248743,0.8776779775465744,0.7253430092241233,0.18157863696373386,0.3783845706453565,0.30326198047919206,0.5804778900090725,0.19745904934429667,0.7493025590505488,0.8010621723867395,0.8034115030922674,0.8586397961630807,0.7188556569480822,0.6234762219067757,0.7926931096026042,0.7086484901287378,0.5086344257182391,0.5887055389207347,1.0,0.6672970785481008,0.4669618379989164,0.5473200648606965,0.07322345114309,0.17867115648022106,0.15840961176701104,0.38037150820462107,0.045754937836002894
6,22.0,0.1609321005594856,0.6430955391042291,0.5826552397530892,0.6252525795073293,0.5906487676404824,0.48576049874276117,0.7641514694943368,0.5745809950516965,0.663268333189599,0.3466219012912501,0.4102624135280705,0.25939495107420657,0.15215186044315895,0.10340147750245703,0.38159808391533134,0.26146878976236465,0.8146487302044517,0.44229231271905894,0.3530557646933977,0.2039635578631832,0.6553137961468286,0.6899043584633076,0.7136071205448438,0.6465709750611338,0.6450738234342039,0.5024295000257525,0.8103196514566493,0.6148659544084109,0.6595530836992999,0.15388782555779257,0.33990371152346877,0.4066541304383361,0.15046284480411204,0.3593880463856174,0.6400259377052746,0.29380860969057476,0.25935180853147777,0.20482487314881248,0.564388133637916,0.059092345483735126,0.6790441876441504,0.6063102429563395,0.6051176398283379,0.6929470860493047,0.41186659439920453,0.40508956994932976,0.7381833594967542,0.5904784691452085,0.22571008733850403,0.5892065438317862,0.7768188441267836,0.521090381039237,0.24005146866433452,0.572234738242652,0.10883820030596127,0.2507179129950192,0.08036551747476454,0.45685282395654503,0.1671581885108743
7,24.0,0.7718792717135587,0.6302148525763162,0.6514914432749348,0.39170062366506486,0.879663388917622,0.6077774376482863,0.7290274716167651,0.5976180144987079,0.7168807511486817,0.11424343559788777,0.3099698427193978,0.9887910454011529,0.3981671761694101,0.3748817215580089,0.21012430412677643,0.5764440070322955,0.6517292895439595,0.12516796504858066,0.10992417263904454,0.1884589047266272,0.8352517453817716,0.7144088230460838,0.673872637984866,0.3943661686585831,0.5805857967956539,0.6339532545190688,0.8152392167019706,0.616906262791541,0.6530679460878711,0.29880206138100956,0.6281671536278269,0.42527867862283636,0.21369802494861995,0.4023539826524551,0.31869530211090286,0.44133142005017184,0.15650748458778366,0.15885057469737762,0.44035167458609376,0.2934400544039609,0.6374306534487086,0.4868044256554079,0.2947092530717521,0.4095519823716791,0.6673281222628556,0.5762035853908871,0.632947202922377,0.5416839389524983,0.6266938004727133,0.45951384706150433,0.4457854259110131,0.1259462975675667,0.4575159743847613,0.901781705270645,0.2555658145856765,0.31795797081106214,0.11956938928002211,0.7030642428077724,0.40067452572587137
8,26.0,0.8873163413240293,0.5684359929820857,0.6308370735412885,0.2458650812272778,0.8573937247990647,0.6312143412762399,0.6768706458045289,0.650869678271913,0.7734783638153025,0.0006237911785138769,0.34003096345102296,0.8774781936575842,0.3879003652266904,0.5156823356734418,0.05856618395950052,0.6859205221082164,0.4483335575625157,0.11204115508360193,0.12695018928367183,0.329833805506897,0.5943512515143208,0.7099046965851451,0.5027362314925826,0.22313886714855244,0.5060068330604541,0.5660824366666521,0.7611497410631367,0.6260498563300145,0.5074590523451082,0.3642255825616008,0.7340310675887547,0.40364262260475514,0.29149883205780247,0.4534077044698721,0.39775452168535036,0.4780546717055268,0.2851700391538998,0.22379277632107447,0.5249810261971016,0.49908092171439594,0.6723747471666972,0.5300257486779825,0.42170328700753096,0.24065659917396232,0.8835558919119392,0.700117842981913,0.5748477687381537,0.5683600417971465,0.6692729754809299,0.23593299030006543,0.5180852355795121,0.07937887510280388,0.5963105692466146,0.7892897941057361,0.21641155362733147,0.2981584463585582,0.1976818495629082,0.7327039199898339,0.4479556493835347
9,28.0,0.3430301581277831,0.5481703207048312,0.5303560018604412,0.47748832175518957,0.5428111767150403,0.4596225744185077,0.6423698660094875,0.5941757567583983,0.7099520846661063,0.0566249691029504,0.17850582562236209,0.0712202149365304,0.12440433043081194,0.45851224531831825,0.23641985156177864,0.1823916667586947,0.2132449756748604,0.12398242882248725,0.0967753976348474,0.22012936395842564,0.586462331680239,0.6415164043123834,0.36592219759467226,0.44274256404536927,0.39072989145948667,0.4040491527292983,0.6737212712482751,0.573172294892335,0.6276348762024284,0.24325977547866298,0.4336298215316897,0.251053637456124,0.0981969560604937,0.0761137109184133,0.35619072083577186,0.5172646971707687,0.31489307626735835,0.25149035252601615,0.6051874899748217,0.41292570827400976,0.6226669690283391,0.6331916292122794,0.6001308499559643,0.5818414558940753,0.6562884435617673,0.5429938665255069,0.592105765699347,0.49447324534155407,0.22838289041581847,0.20556303503405074,0.45583841162326966,0.11127064605575651,0.36265085218956084,0.336691381164604,0.07573676746907285,0.16452056604181445,0.24856609418116135,0.4209214153544042,0.34785129974740453
