,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13
0,10.0,1.0,0.4428547728179902,0.9802691222372627,0.3373427688570801,0.20273291617125358,0.33092762689824934,0.22925720202928807,0.2865189293116976,0.2865189293116976,0.2865189293116976,0.2865189293116976,0.2865189293116976,0.2865189293116976
1,12.0,0.4678597967437285,1.0,0.6473814992719119,1.0,1.0,0.8960294030477051,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,14.0,0.6457191964662367,0.5179683375466108,1.0,0.2659110823578938,0.03866656998031246,0.26517407566324136,0.2808052654938808,0.28298075099642084,0.28298075099642084,0.28298075099642084,0.28298075099642084,0.28298075099642084,0.28298075099642084
3,16.0,0.7995841281029988,0.5398211473392573,0.3612306690465438,0.5923424629723448,0.8034493621202007,1.0,0.6221875121200768,0.9420751886919863,0.9420751886919863,0.9420751886919863,0.9420751886919863,0.9420751886919863,0.9420751886919863
4,18.0,0.4837944276060628,0.5422450176320904,0.6528316639168126,0.14137352932928005,0.08021757570258324,0.09185760583196398,0.13778628634800805,0.18154607417057997,0.18154607417057997,0.18154607417057997,0.18154607417057997,0.18154607417057997,0.18154607417057997
5,20.0,0.058870981022145066,0.03640023541061244,0.05095510524553106,0.3053952368444307,0.2898987071905749,0.3274635296418895,0.15508009795780728,0.5611922632160816,0.5611922632160816,0.5611922632160816,0.5611922632160816,0.5611922632160816,0.5611922632160816
6,22.0,0.3792069133487072,0.3740268594566909,0.4110272292145705,0.08704429629796125,0.11794784436679479,0.20896497232857522,0.22366622985510543,0.08473198750123218,0.08473198750123218,0.08473198750123218,0.08473198750123218,0.08473198750123218,0.08473198750123218
7,24.0,0.4057405326984796,0.22661509742157684,0.17486785682687592,0.5370439393607851,0.6079653121637849,0.6858428525363423,0.4079248492309774,0.7929292659370744,0.7929292659370744,0.7929292659370744,0.7929292659370744,0.7929292659370744,0.7929292659370744
8,26.0,0.22688866318536413,0.25191029496966993,0.44124340364146014,0.2365910130528513,0.21871023868992734,0.0887700922024477,0.1755756698795938,0.05455835033538511,0.05455835033538511,0.05455835033538511,0.05455835033538511,0.05455835033538511,0.05455835033538511
9,28.0,0.134287751792489,0.3710482484896582,0.23694142972579776,0.5634786684801223,0.526224634987397,0.5657261115830632,0.5356536767790889,0.7349673549452919,0.7349673549452919,0.7349673549452919,0.7349673549452919,0.7349673549452919,0.7349673549452919
