,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86
0,10.0,1.0,0.6744085001394848,1.0,0.615204922011806,1.0,0.8523740072882391,1.0,0.5350817170300604,1.0,1.0,1.0,1.0,0.5284777136900841,1.0,0.4031472331940912,1.0,0.6312799667837472,1.0,1.0,1.0,0.9784094360549886,1.0,0.9851448702182605,0.8232514970455537,1.0,0.8235516824430406,1.0,0.9127294419541939,1.0,0.4583814117446818,1.0,0.9553506722050578,1.0,0.8170258922163682,0.8949321585610142,1.0,1.0,1.0,0.8769674857047387,1.0,0.2880470902935802,1.0,0.578724579767546,1.0,0.8583751648943854,1.0,0.9398001961946565,0.9705830707823979,1.0,1.0,0.6698346012319794,1.0,0.470561472727646,1.0,0.7476132935287282,0.8948425295891437,1.0,0.6352508477618986,1.0,0.9973401703330625,1.0,1.0,1.0,0.7786963805356897,0.9007711136983386,0.6428780217809704,1.0,0.6767230854853175,1.0,0.8244710844746631,1.0,0.5090565988795432,1.0,0.8446597953409923,1.0,0.5417086684938045,1.0,1.0,0.4782201675717912,0.7893588838628262,1.0,0.8429108157754764,1.0,1.0,0.9570319040944294,0.8738999813802554
1,12.0,0.04828912748641663,0.8543335335923351,0.5366702863554531,0.9332875856697661,0.6906662368234074,0.6231937881274288,0.3278658796613757,0.8926408967796952,0.43862199398167856,0.4999632015656346,0.5185502654187527,0.44112555503549744,0.5921495462815792,0.1641738803997342,0.7198197963784926,0.09483550799753934,0.4696906794473093,0.38682870698613175,0.49308639166931517,0.07927248339932712,0.5357020027973012,0.26641565470124395,0.5251155650422273,0.9217963711868224,0.6704456983966506,1.0,0.7864715690065915,0.8563954802245071,0.28428645101347333,0.8388240458393799,0.27971517368588367,0.9865833297816631,0.42430720136831557,0.7265133282983892,0.48459603868625534,0.37004727558925826,0.699778581955754,0.431193155520809,0.551569220560969,0.20588240493625237,0.7083381521826774,0.2422133910773143,0.6744523321690858,0.2371543366317823,0.908537937241649,0.7678776542726583,1.0,1.0,0.26123166367676387,0.3252105357778555,0.9010068174615131,0.615154558495497,0.519900153344646,0.32063672104231405,0.5250093243828219,0.4498551652503562,0.2083300906556339,0.613434523860053,0.5329272839983996,0.2309904366018493,0.45551527956843857,0.7013646269796827,0.25001468254917764,0.5056882757715364,0.40165143063842884,0.6472738327245926,0.7478635688875914,0.9636657798535043,0.8055139248806379,1.0,0.2886002443425766,0.8731554889768164,0.30997389390904706,0.7636979009821021,0.5560034003298514,0.7583208899577861,0.20493673031386334,0.044665068469662325,0.5585784199597129,0.4872124585742939,0.3100960211215372,0.9141773263160087,0.6329327398983937,0.39877859886267436,0.539441790921279,0.411647098341511
2,14.0,0.502015717931742,1.0,0.27554820278411407,1.0,0.6348135084592438,1.0,0.6449959617643158,1.0,0.40286718043520525,0.7365359486323968,0.9669450305843659,0.9334622224233842,1.0,0.2740079909434553,1.0,0.5467196998552865,1.0,0.9074603664939102,0.6722316727795877,0.6129731699348129,1.0,0.8540015179043381,0.9536255815576075,0.9842847268062858,0.5534290067721425,0.9222898213110213,0.6709188797502662,1.0,0.4743711734814362,1.0,0.5209631438482027,1.0,0.24208701912804764,1.0,1.0,0.5744920295974872,0.9386348805329681,0.9658535151287785,1.0,0.6946202942435281,1.0,0.3877009194973754,1.0,0.8564352573103954,1.0,0.5911593978093013,0.8612133036162057,0.9609685739742967,0.3127220954010615,0.4442860203978269,1.0,0.8045977143054759,1.0,0.586142976912302,0.9818400066248532,1.0,0.7514442108109497,0.9491880140695089,0.9568906022744165,0.7675504382079058,0.8110315477446948,0.9677591120845658,0.776344150632743,1.0,1.0,1.0,0.6994200128822561,1.0,0.6794220746870295,0.9935441925065415,0.6594806760464657,1.0,0.4049370741986908,0.5170523179408891,0.514885888885005,1.0,0.8288915537195901,0.5674063333895694,1.0,1.0,0.13592088181905318,1.0,0.7125350438816287,0.9199025363966836,1.0,1.0
3,16.0,0.2206299014261182,0.24663699915381335,0.4785440008308288,0.7386360982900285,0.5700407614630397,0.7039954153152242,0.8402825557542039,0.7874252929111284,0.6031489636970265,0.3687459683072853,0.5231175961992853,0.6317348546788459,0.4927008528932985,0.10476704928671801,0.42972534436287896,0.47851435919938695,0.7198383251546765,0.8166661295573792,0.5327333761398708,0.4410334181103716,0.6343639987146684,0.4648095805670446,0.33008451224880914,0.6471797371101817,0.6491106794456927,0.6361571060925935,0.5670313554848723,0.5698250378464195,0.7484433821722406,0.8200845239530402,0.6954962805731676,0.5002320513210087,0.1432407053673806,0.699910844481363,0.6382588326151089,0.23326205487412394,0.35104063224185483,0.40327499863192007,0.507464779795894,0.665174172431965,0.5750442830720589,0.19127642565331898,0.3563904764053701,0.48442905062037483,0.8163753447945017,0.6492513975591292,0.5687379626915241,0.6043981807301959,0.4270195181350692,0.8444658394370737,0.8248490153217816,0.8094414035379217,0.6414105527820241,0.2786001567221733,0.3554229377724649,0.385348727741383,0.2875879177006671,0.2211916173733388,0.48238566070707795,0.37853211393989156,0.5032935466565638,0.5258977582481246,0.3431002939405393,0.46243795702811924,0.517644697481672,0.2816585529886048,0.7134532047766753,0.7500569003475744,0.5681356189853123,0.3137514444300063,0.7528310498625561,0.7601238778609095,0.5991604645957194,0.30392884761269623,0.46741096277486044,0.640079708795425,0.46885017171034826,0.49818520198213445,0.6600995120340656,0.6422694877527604,0.029482706189913117,0.45832644005370393,0.39755722278227484,0.43774177036970874,0.6433088128543796,0.6032016863880474
4,18.0,0.38371270648186256,0.6013461449249029,0.6210296739702337,0.6252959379941688,0.5491941193256821,0.3465443888088774,0.5789933309933137,0.5300820068746024,0.5792054176265141,0.7910923777428446,0.5198758828401147,0.2690641719829409,0.2877647340080669,0.32677103662806156,0.5006875412840037,0.1338988043816927,0.16234164948238716,0.33415752817443384,0.16727772395076174,0.020663815587880184,0.08375902666252545,0.27014504249498195,0.626635659341454,1.0,0.6407503566236008,0.5173649381694652,0.4818839425445307,0.2886292184670428,0.5977718722563264,0.551726096003656,0.5038507651275352,0.5644327938110183,0.4786565214302236,0.608162355671594,0.2643311169436255,0.3148897925025868,0.4826549856181843,0.4281681906804906,0.3322375592552023,0.1754332977922204,0.17913903979331597,0.28128782808647423,0.5511449224902246,0.4593237859582948,0.8716555288573589,0.78263989354883,0.5559537711216177,0.48950118145745186,0.8666692633804272,0.8953964548252323,0.7163404517768591,0.593454627675957,0.14484371590348827,0.3357776934708848,0.6352454829259911,0.5448643498674219,0.6153260319907554,0.7144909871824602,0.48382136433293216,0.4734503914166666,0.2629542690560238,0.31753792040712553,0.3633575201000295,0.3461610005294861,0.35715327676730674,0.7368091810187694,0.5875264868495793,0.4507283443823537,0.4014797467865054,0.6532844658069357,0.383233899880567,0.48038116337049086,0.6054558377885834,1.0,0.7631357293335789,0.6172019199939442,0.27846745033539244,0.4303999525903961,0.23781737930824984,0.36317266747755433,0.4062460946021897,0.3544028280875447,0.2737528914221915,0.6617544717232067,0.4039385350757999,0.12162721146092581
5,20.0,0.4780216165304639,0.7737005088614463,0.5794451275458625,0.7159427741388737,0.707674722128614,0.6513809947174459,0.22426841404993544,0.4515670435865802,0.35352418803273616,0.861320829036421,0.8595092781261454,0.4540528505361346,0.5442164063747249,0.3759843746761737,0.7701577520295598,0.3558833979696528,0.2314176489199892,0.13070408187498744,0.16033938412452048,0.15762025660574763,0.3757795966955856,0.5474534601487431,1.0,0.9222471682022897,0.5036683321845155,0.6195817491419948,0.5773613608174971,0.6015568516095062,0.2371732877881632,0.4845105282186226,0.19070669856714675,0.8380128615730212,0.5899068757390455,0.7015441228882136,0.5628889693748645,0.520073284715726,0.7772407838286894,0.6316045037291496,0.6572455400487914,0.2726680011302375,0.4249384289210566,0.4294123784366512,0.7111327444283742,0.7288505446382465,0.8859268587174142,0.7374415592914301,0.7359060678678493,0.7140119279183427,0.775423930863162,0.5523901602110659,0.78904508095123,0.5709804622262635,0.4926682753488483,0.5876593167695371,1.0,0.9115024594828338,0.9752587419990388,1.0,0.8726201736446693,1.0,0.8273538372126525,0.6757775058916616,0.5818676705971865,0.5862424587621783,0.7321461697319437,0.8538124553821048,0.44554117506091695,0.3685129112390356,0.42204470777761244,0.9318652741805467,0.15643263780721559,0.47484645046512153,0.4557130586418602,0.976091681131184,0.8004476141378367,0.7103293958151597,0.6880230984387958,0.4969942253224618,0.4245987653599589,0.6102923517646651,0.551711030450322,0.7896642780414596,0.5559055130070578,0.9213658410397084,0.5599073572631491,0.39246665296818084
6,22.0,0.11079214303157253,0.45259296122391207,0.5006371703802482,0.706566317321903,0.6905477381611944,0.6649306813833779,0.39039851343616416,0.5126995767430981,0.3308319733392668,0.30551766529041746,0.4353069597630449,0.2582436203857811,0.1371947790408442,0.17197703945385223,0.45135709647961103,0.2939940039154644,0.0,0.0,0.31381556014494577,0.2709223751847338,0.09779962257976346,0.18697133825199383,0.5497893661283344,0.4890254118306695,0.46799577557735944,0.6636279219109652,0.6108879694463009,0.5130291435961772,0.3556801237379709,0.6616351549411543,0.36888757612547324,0.5647925997231612,0.34173189747915267,0.49394446204617676,0.30601204494753226,0.20176923230049792,0.36213473460395895,0.12882099877556988,0.3305594113282079,0.34704229225408717,0.29421757805337395,0.2376190176860785,0.21236733689475232,0.3464592312243017,0.6623425958797852,0.5396706347890351,0.6957324537384526,0.6573272759167885,0.08625723594957904,0.4191589993717023,0.7989613678342485,0.5750873549833029,0.3572926040274354,0.2963219008508515,0.5100043278954537,0.41921427315596077,0.5159981141283767,0.4995463056702462,0.5893826500956446,0.8575077294334825,0.8830230288656337,0.608692316180522,0.36839300948823794,0.17544252225178464,0.335433418775224,0.23271900773427137,0.460671548396345,0.46760317697436954,0.5492525849751707,0.6520048902329463,0.42878905477643775,0.49700107320181935,0.22475461352187853,0.32532400348432483,0.3656645689238541,0.3254100255146329,0.4750082767365104,0.20703257832022087,0.19455022308224665,0.449125836158007,0.37950833161271613,0.6510072999795784,0.423359897795136,0.48455202656135776,0.279150502775012,0.036644742262575906
7,24.0,0.4967745527271881,0.6566531240379707,0.5695672474820661,0.6352957868146228,0.3904598243691852,0.5748347519607515,0.5215930805441336,0.6341027162519075,0.5804784293268939,0.40043146662078233,0.29283040459826143,0.2867045810883061,0.4317307076897099,0.527496533390365,0.3956170831129011,0.09029416274041571,0.34079950260033565,0.24143560584003537,0.47218933614043707,0.7339707044452892,0.36945196727790663,0.2972468608343292,0.28273781572088996,0.8548225874478309,0.5786464714317214,0.6032184284911104,0.43496268028105395,0.3313763982962222,0.6201429292777222,0.8727646035287194,0.6053804803978233,0.18178777622819808,0.1583274117223763,0.5685680306955854,0.3669227122142537,0.253311966261657,0.2818260362336614,0.4289547861152953,0.5044313078189028,0.16212120265396537,0.3557742125703118,0.42948863105816415,0.4081751779330293,0.35738125416455524,0.6859815225089054,0.44651149075505825,0.4618851134552939,0.44347388480495314,0.6347674138098925,0.8493442111330854,0.7171764580438769,0.41258881594605623,0.23416884111722938,0.15772310872552311,0.25456017440933426,0.28766219499894696,0.28219093796644984,0.4441888353306346,0.3187581329059168,0.39855943722025405,0.7006509147149994,0.7330855776089366,0.5886398538405306,0.5633269260625365,0.40060663675169284,0.6353710772717198,0.48366910364624277,0.5738828613030624,0.5194998524953767,0.5678699261228406,0.44991165084283435,0.5224194189818843,0.45657967554208684,0.3780296703937274,0.22978849388926648,0.3223555039075319,0.35465491042519504,0.1892422690826485,0.24507049276724538,0.5194761703072694,0.3090631971579208,0.27089586661865245,0.1953767217041584,0.5442039276671964,0.5074127483370633,0.4325439598891304
8,26.0,0.5239863192845688,0.5618118048545868,0.5742692170103807,0.45367366021760175,0.10452398032065902,0.4738581222164601,0.45192919181052804,0.6354782514485774,0.5841856809903644,0.41875313952687043,0.6724339742975477,0.28591256528358083,0.6204807288457475,0.5612586696916751,0.4320709607606494,0.22007002717469132,0.3790331118069717,0.321242097092603,0.30351864476020474,0.8115959305759975,0.49828434053530596,0.3562800330315857,0.47469754265968556,0.8735997744398414,0.5675090576721603,0.4082524876910885,0.1794915793564942,0.25576917571590935,0.6035640942269186,0.8686407419660082,0.5356838520276576,0.24428005736963823,0.2162724998889056,0.6153719189293385,0.6005535849592237,0.32656942725533805,0.45820191104249974,0.4498394569621725,0.6487811672962458,0.17820430923434522,0.3988731834856457,0.5718980223582659,0.3939058540483917,0.5221552821004656,0.7561475733543479,0.4529370864064461,0.2094367183931893,0.3154478209331908,0.8797069513001274,0.8936223164017895,0.549401069321529,0.3176811731759317,0.3270009473850868,0.3121621221298201,0.6006831935197227,0.5194395268186414,0.6839678567231825,0.5810432507382963,0.4606806669883556,0.3710996292259916,0.5291987693176471,0.844256903487791,0.5739668739147182,0.6523311378631844,0.6502788693136756,0.6646686151779083,0.4049799614711194,0.5462328069843544,0.3328961932965201,0.5080686714436526,0.32977750926023297,0.5407894431976554,0.593495636792841,0.47574434415937883,0.37217171508747465,0.4943561495781579,0.4865366545971854,0.2799121116558707,0.3982663682089952,0.5928092253807322,0.3482547388294781,0.11985672294496903,0.2160613489927752,0.7074901243051833,0.5890888077177372,0.4652028562072986
9,28.0,0.13552296900580135,0.1327862986153857,0.46245263113009744,0.34968762003062165,0.41526829960958067,0.36506003028012385,0.2959402460929347,0.4989950394123324,0.3944298870366983,0.31021056760228194,0.4836920991755917,0.20279214672202672,0.35460494610112486,0.15909768733461585,0.03329760963667135,0.18770757327985796,0.1988308728687416,0.1406582126633771,0.1625021826640633,0.4226580417563869,0.27745946150396494,0.14346677335424984,0.18868005418966458,0.6283514351032525,0.4193534180707707,0.2604967626620205,0.2455966587282031,0.4437999403870054,0.3487954994396096,0.6296680570327837,0.3162919964248784,0.23415376404310556,0.2059741126674495,0.37909605229582793,0.38079325854354273,0.04027595232465503,0.2207653789450901,0.054517433567619386,0.2520290362533744,0.3023464825261826,0.3477691969900302,0.4128458895377428,0.15524654898986992,0.28094290349424444,0.6241842360277975,0.3841276790808785,0.1604030214269622,0.20392940199384418,0.6228489840279986,0.5036428048083563,0.4401422819405391,0.3812497895683981,0.15704982388535701,0.08345245201458708,0.322410776504179,0.08722733605149366,0.44235690739668587,0.1420257967591814,0.23261131150987743,0.3898166326304234,0.41503472012018466,0.5748632054434709,0.4123681908728936,0.19878841954707585,0.2850362381239338,0.07205953281032654,0.3523774337694458,0.37424846567609477,0.23645259122957427,0.040504931844211105,0.2907909431043177,0.5199140827750954,0.44081120122730005,0.26048686688717054,0.11458726520558056,0.2555048934284079,0.2549963363465085,0.038330465980015375,0.22220818204587353,0.28809661926559477,0.22060369394501234,0.11372314073231678,0.0774233467311534,0.3314909211903222,0.2712091931131698,0.09280247886091036
