,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13
0,10.0,1.0,1.0,0.686379652178451,1.0,0.22966080030774885,1.0,0.7504240089073455,1.0,0.9472627982837772,1.0,0.15621594326351046,1.0,1.0
1,12.0,0.4678597967437285,0.2633212308039841,0.558322839453149,0.39129343035081143,0.7622258221918523,0.3802535908085627,0.5224593862841626,0.24407174771189635,0.41846667909465424,0.3423071886308963,0.687449919535617,0.25924553761620633,0.2835415837214077
2,14.0,0.6457191964662367,0.7577731841472025,1.0,0.46382487539193656,1.0,0.5501875564931799,1.0,0.8353450684669018,1.0,0.6895042210668259,1.0,0.43712546309638906,0.9500937830147553
3,16.0,0.7995841281029988,0.28986553046574726,0.47462043079399535,0.41954970841687617,0.676329631070401,0.5677617012678219,0.3940219479160203,0.41101293321993104,0.5246227133823563,0.4638986478832798,0.6169621703886305,0.35352655284090595,0.6569195318463759
4,18.0,0.4837944276060628,0.5078171373307688,0.4500339243817304,0.22248234182588847,0.17048810672980705,0.2520791380320458,0.5496746764553702,0.39021093877039714,0.35344526317047675,0.10936052347113223,0.037376040924861284,0.25460025096616634,0.6462002838008271
5,20.0,0.058870981022145066,0.8226493807899609,0.8002214829531964,0.10624001896947106,0.04805548105129471,0.09106489799110355,0.9156755401454063,0.7606944391034496,0.7059421927351898,0.18602004510422934,0.35658594392549925,0.41633853224284195,0.9702277967414871
6,22.0,0.3792069133487072,0.4276070183250267,0.4370914747435825,0.2086863093359299,0.2068669931021685,0.34477365135755794,0.44835276622744746,0.4674504862044763,0.3535376649816599,0.156243858307387,0.362951675831896,0.4235064085055284,0.6171567652760471
7,24.0,0.4057405326984796,0.2083689702858591,0.3987609043779289,0.47414662557637166,0.5802850173452337,0.4053770700127023,0.33647417235289373,0.08363591682511837,0.5056960195558351,0.5749468351127203,0.5232405311079068,0.38048569773807817,0.11007199555911516
8,26.0,0.22688866318536413,0.385345943144942,0.6424096923883156,0.5228723850136914,0.7503839669565027,0.29768360552980927,0.6756869005966912,0.23282163970182468,0.7390076540559326,0.6001537269101993,0.5711992391818838,0.21103284776860645,0.504323680748258
9,28.0,0.134287751792489,0.2758747216251554,0.4120045905194056,0.4606413266882852,0.6294452729304428,0.46097196421770703,0.38325704565445756,0.23699605158652,0.5187447830527651,0.20545484137817543,0.29499055506986194,0.20288610464920728,0.32954942374749485
10,30.0,0.1364632232321239,0.5857807457853841,0.42895404261446274,0.5553115061444395,0.4278411602368429,0.6854144496155289,0.1669002501716156,0.4684975206991049,0.46192208550571845,0.3955639918262212,0.14362500515648743,0.3550197936316524,0.17080865849102936
11,32.0,0.24593344515739077,0.6225301856877693,0.557745503268517,0.5560270136208855,0.32823154124621334,0.6270151339915225,0.39051166400200416,0.3802748652073985,0.4797393246279853,0.5739837723166403,0.26843398589701134,0.24640927859558542,0.5656664940598937
12,34.0,0.39188925051799817,0.3510405613289575,0.28343808052424874,0.3890838237561721,0.41088655883500674,0.49946890587977905,0.18290453477800725,0.08122219065115449,0.2175539042533262,0.38417743593839093,0.32776374494060184,0.3798201066149347,0.5863043141300471
13,36.0,0.33709775267701436,0.47068979704572206,0.13190087378004262,0.39381112981951294,0.583780219333092,0.6095544762545154,0.17350469795548215,0.39281101010071406,0.18189817322901963,0.20122366462078903,0.500747285707215,0.5849937183830577,0.34438609716214336
14,38.0,0.09187716461194932,0.4733106555351466,0.302685063834749,0.48716560346851184,0.6169161137910434,0.6062729537958341,0.2617439509083386,0.3139840654013542,0.17454462671503398,0.20169244112262585,0.4798595098164177,0.42699649209705637,0.1319370102508958
15,40.0,0.2620837122220931,0.21258422345598194,0.13917517331653778,0.4278724083688033,0.5091977436338943,0.4526226212760589,0.12822285979699918,0.09215767392146693,0.12948195104250818,0.13714040549892487,0.20319760920481947,0.058920418351989017,0.13180970547758658
16,42.0,0.3425279472396386,0.42956104758518976,0.11022434781547902,0.3053552862699464,0.41864097222145175,0.48609122219002154,0.295733485372411,0.43467178312354354,0.30884389978673027,0.18724452683272713,0.24684719610636477,0.29909635308063043,0.11204466231699851
17,44.0,0.13013997615900652,0.5077836018954394,0.21750835013660266,0.2931737152105959,0.3963304393038856,0.5271595205516189,0.2926766924337543,0.3844938178804877,0.2408262935761925,0.13793215608334386,0.3943062781117016,0.2741145942353483,0.012080186315073606
18,46.0,0.21592618959011242,0.3288787729260939,0.23066330740382374,0.3348534850628405,0.42617244865980536,0.3636113883822557,0.06733586967432083,0.045118890882152554,0.1429122937457233,0.2711939637477114,0.3085694208391321,0.22640673785300067,0.06270671133411268
19,48.0,0.4399677769296897,0.23734384839362982,0.321220074759123,0.29866683883038714,0.43792257317752853,0.19368120324799218,0.19404482856751168,0.319314169507634,0.2087822829315885,0.44925001199353476,0.17108286970588624,0.4527706616684944,0.06192366441995328
20,50.0,0.394885798398257,0.09096238698057493,0.3174025211320104,0.2535597013807001,0.33973815022775955,0.2810916049010706,0.162407794365794,0.34862045029278,0.09548842984895087,0.37233067957341126,0.18773268368869878,0.45695652006556486,0.18820585810688298
21,52.0,0.232563275206612,0.21013062120607096,0.27207327309861606,0.30538090224773773,0.21565815514395797,0.3047710553224086,0.09916307658136402,0.12917779366433393,0.2857870492300291,0.1737338529240608,0.29035034185467573,0.22762545836269218,0.32702375090443986
22,54.0,0.3177545812518646,0.4362383320657434,0.2963606821896989,0.2747098858409907,0.18302692474621232,0.18235806156757534,0.24796014925595963,0.12371613292342144,0.4409698784063874,0.3152083017615662,0.3950604490716144,0.17827819419869675,0.23653410938095404
23,56.0,0.3758360488578217,0.33787642460048384,0.20529860530361638,0.1255537990092813,0.16690017433099225,0.13229112005332014,0.12802267405495163,0.2128993433700636,0.39795915989588365,0.3900399670209056,0.4072638324985108,0.2941719524544573,0.04713362927432808
24,58.0,0.3182939608987066,0.0210222034512993,0.03827689454096589,0.18122543401731805,0.23467392218749034,0.27019919473266246,0.1566290519876405,0.22842584371196958,0.2970467672888552,0.31179770730280315,0.3327230985696432,0.2374351840925362,0.32921280065705333
25,60.0,0.34478829909299397,0.19787413261477213,0.17398175238945454,0.23693449893982857,0.26777007352126414,0.2733670111890274,0.3785477534907951,0.18174825450906398,0.12679057757857362,0.23533608310283824,0.25569845346991743,0.15798644724018485,0.32858924912615434
26,62.0,0.37911767544029223,0.13875461807481254,0.18136957582045143,0.13812951444825908,0.14789054001321744,0.11633988757724535,0.3157947244432888,0.20146079987987792,0.23639423544986227,0.2493323425910473,0.21771744404461263,0.2886382805870602,0.15230798070873025
27,64.0,0.2546922322487743,0.1245601592728663,0.0802204186803931,0.06735460449579454,0.05049534836784138,0.03997318368665904,0.10750101382457222,0.32841359115392027,0.5426163258172144,0.2685848638068248,0.2146521432986633,0.332417150572309,0.3861034604566901
28,66.0,0.11658855834632952,0.3336634344622939,0.07170828597912993,0.07106405183335646,0.1700143241267472,0.10754601876340034,0.2056080976050791,0.2553613002267155,0.5976514794918242,0.16608829251867424,0.21165005706425813,0.17517435966550962,0.4289365441610483
