timestamp(ms),degrees(IMU[0].GyrX),degrees(IMU[0].GyrY),degrees(IMU[0].GyrZ),IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ
56995.851,-0.03256752421130659,-0.10626770962192678,0.06940357800470665,-0.215246319770813,0.45972731709480286,-9.890145301818848
57095.851,-0.05012935090432875,-0.08086311874520033,0.047958483890164647,-0.21803143620491028,0.45842310786247253,-9.896425247192383
57195.851,-0.03915794208040461,-0.04330623294267571,0.006789845373570279,-0.21722473204135895,0.4574812650680542,-9.892200469970703
57295.851,-0.034236245409899856,-0.09869216000977904,0.028610585435922258,-0.21539954841136932,0.4610797166824341,-9.90522289276123
57395.851,-0.0602135752007598,-0.06091689150366001,0.029124387266964185,-0.22140556573867798,0.463030070066452,-9.899724960327148
57495.851,-0.04098582208481384,-0.062463436315767465,0.03547275688574882,-0.21678052842617035,0.4590342938899994,-9.899177551269531
57595.851,-0.02502828000242589,-0.07460770376538858,0.010228017672410352,-0.21992802619934082,0.46389955282211304,-9.892784118652344
57695.851,-0.11109700860755983,-0.07993154464233666,0.04240042213581037,-0.21656830608844757,0.4620266854763031,-9.90071964263916
57795.851,-0.034896332736394836,-0.04649653607045766,0.023751676168927226,-0.21563765406608582,0.4681161344051361,-9.892152786254883
57895.851,-0.031395359276945235,-0.07281401140464004,0.013837417922413442,-0.21755053102970123,0.4555755853652954,-9.897268295288086
57995.851,-0.035775176292588,-0.06797920290897601,0.02884383581246948,-0.21602195501327515,0.459358274936676,-9.90212345123291
58095.851,-0.07482680350570008,-0.0694236817132216,0.0017274029415748373,-0.22025832533836365,0.4575788080692291,-9.901806831359863
58195.851,-0.04998912186784437,-0.05396709816700313,0.015189193884300766,-0.21828605234622955,0.4565480649471283,-9.896464347839355
58295.851,-0.05590659244030249,-0.09034341803288552,0.04396208808501251,-0.22125759720802307,0.4640219807624817,-9.894943237304688
58395.851,-0.0561618575115921,-0.07385970440232195,0.04658776982130949,-0.21702370047569275,0.4514111280441284,-9.898677825927734
58495.851,-0.04350813047188567,-0.03381186306006275,0.035253316969878504,-0.21699988842010498,0.4615255892276764,-9.891057014465332
58595.851,-0.06140661757627968,-0.08077253866503015,0.10653055193703621,-0.2195446640253067,0.45926520228385925,-9.9013671875
58695.851,0.017382272361422656,-0.09768156512563582,0.08353923317561858,-0.2216244637966156,0.45996302366256714,-9.89255428314209
58795.851,-0.06319905595653691,-0.05565504928983282,0.011328744071893743,-0.21807622909545898,0.46651527285575867,-9.892767906188965
58895.851,-0.043449550239625385,-0.04479464775488013,0.03388696515230695,-0.21213115751743317,0.46479421854019165,-9.897823333740234
58995.851,-0.020995026842487278,-0.08282283011886757,0.03498177349758334,-0.22183428704738617,0.4578867554664612,-9.89476490020752
59095.851,-0.021967553747061174,-0.08858230915458407,0.000175602695873431,-0.21046680212020874,0.4677402377128601,-9.902074813842773
59195.851,-0.005949103564373217,-0.06428615699086804,0.02660024459991837,-0.21849048137664795,0.46231505274772644,-9.897659301757812
59295.851,-0.05024000801257789,-0.08803500003099907,0.05772294983142055,-0.21722286939620972,0.4649367034435272,-9.897812843322754
59395.851,-0.05076537247756496,-0.09306923811554443,0.011491954135161358,-0.21908451616764069,0.45742541551589966,-9.898414611816406
59495.851,-0.06602524116926362,-0.06529451071838849,0.017099689858738564,-0.21101948618888855,0.4600895643234253,-9.899296760559082
59595.851,-0.049257550983235705,-0.016628986936976436,0.6879119262970984,-0.1412838250398636,0.4292324483394623,-9.914176940917969
59695.851,-0.04399282061221311,-0.4575504273170605,-0.6569901547640562,-0.222264364361763,0.3975137770175934,-9.903281211853027
59795.851,0.08617730797443074,-0.12223128148284741,0.2430841449209489,-0.10788320004940033,0.37924399971961975,-9.912434577941895
59895.851,-0.06116027044071816,-0.28047061277367175,0.23173965022042395,-0.36508890986442566,0.5091838836669922,-9.91464614868164
59995.851,0.622240861245431,0.18001260810820385,-0.6040330645116047,-0.18188980221748352,0.5753037333488464,-9.858567237854004
60095.851,-0.07639872141242958,-0.3398609964726493,0.08747357028666884,-0.1543341428041458,0.4101370871067047,-9.89880084991455
60195.851,0.17903763827621005,0.3020530577726662,0.5199841949880123,-0.0914517417550087,0.5786353349685669,-9.86438274383545
