timestamp(ms),VIBE[0].VibeX,VIBE[0].VibeY,VIBE[0].VibeZ
56995.005,0.014688449911773205,0.01452059019356966,0.013833198696374893
57095.005,0.015530462376773357,0.014786086045205593,0.01252113189548254
57195.005,0.013873709365725517,0.014189565554261208,0.012524668127298355
57295.005,0.014573384076356888,0.015442345291376114,0.012403582222759724
57395.005,0.015424024313688278,0.015260093845427036,0.012557285837829113
57495.005,0.015799645334482193,0.015717262402176857,0.012709960341453552
57595.005,0.014774945564568043,0.015294055454432964,0.012603160925209522
57695.005,0.015847884118556976,0.014158060774207115,0.012739226222038269
57795.005,0.014523747377097607,0.014655821956694126,0.014636630192399025
57895.005,0.0150417136028409,0.013808616437017918,0.013660304248332977
57995.005,0.014706565998494625,0.014481969177722931,0.013750459998846054
58095.005,0.015018847770988941,0.01452577207237482,0.012793522328138351
58195.005,0.014751123264431953,0.01664854772388935,0.011599144898355007
58295.005,0.015006438829004765,0.01628740131855011,0.012786625884473324
58395.005,0.014232582412660122,0.016757892444729805,0.012989647686481476
58495.005,0.015157145448029041,0.01603909768164158,0.014426494017243385
58595.005,0.01398492231965065,0.015226274728775024,0.013646876439452171
58695.005,0.014905748888850212,0.016491670161485672,0.012323775328695774
58795.005,0.014697748236358166,0.014623408205807209,0.01183135062456131
58895.005,0.014574270695447922,0.013992365449666977,0.011868370696902275
58995.005,0.014734658412635326,0.013817643746733665,0.011775088496506214
59095.005,0.014882913790643215,0.01397890504449606,0.01470360066741705
59195.005,0.013978129252791405,0.013177313841879368,0.013326396234333515
59295.005,0.014500509016215801,0.014857438392937183,0.013370275497436523
59395.005,0.014232402667403221,0.01600158028304577,0.01401164848357439
59495.005,0.09879238158464432,0.07835567742586136,0.09811956435441971
59595.005,0.23841923475265503,0.23542912304401398,0.28197813034057617
59695.005,0.18534961342811584,0.22422830760478973,0.24212691187858582
59795.005,0.1708509474992752,0.24294787645339966,0.16727660596370697
59895.005,0.19686684012413025,0.2155037820339203,0.24382425844669342
59995.005,0.16429416835308075,0.19620443880558014,0.20709092915058136
60095.005,0.14427489042282104,0.18227265775203705,0.20464493334293365
60195.005,0.14201489090919495,0.1777622401714325,0.17396487295627594
60295.005,0.15494079887866974,0.21544723212718964,0.2279280126094818
60395.005,0.14337117969989777,0.1879165768623352,0.22628585994243622
60495.005,0.1999267190694809,0.22766005992889404,0.28937840461730957
60595.005,0.18688657879829407,0.2504532039165497,0.23936745524406433
60695.005,0.1539658010005951,0.2529882788658142,0.2861754894256592
60795.005,0.19514413177967072,0.27467599511146545,0.3885844349861145
60895.005,0.22045175731182098,0.3010852038860321,0.3860621452331543
60995.005,0.21964213252067566,0.2689571678638458,0.36313289403915405
61095.005,0.23911215364933014,0.33691880106925964,0.4211062788963318
61195.005,0.24986858665943146,0.2844238877296448,0.3854014277458191
61295.005,0.24050204455852509,0.2848584055900574,0.3806581497192383
61395.005,0.18316616117954254,0.22072607278823853,0.32162758708000183
61495.005,0.19870422780513763,0.23700284957885742,0.3321196138858795
61595.005,0.21460552513599396,0.20684121549129486,0.2774609923362732
61695.005,0.24984271824359894,0.2658707797527313,0.4273585379123688
61795.005,0.5012421011924744,0.5550004243850708,0.7826167345046997
61895.005,1.0712112188339233,1.2463657855987549,1.4314534664154053
61995.005,1.2617037296295166,1.3228981494903564,2.0888984203338623
62095.005,1.8259180784225464,2.66705584526062,3.619565725326538
62195.005,2.0777924060821533,4.1210036277771,4.680294513702393
62295.005,4.052416801452637,6.479532241821289,5.12957239151001
62395.005,3.0062315464019775,4.903233051300049,4.3297271728515625
62495.005,4.221365451812744,5.166749000549316,4.692958354949951
62595.005,3.1184778213500977,5.305929660797119,4.301347732543945
62695.005,3.723118543624878,5.497819900512695,3.7469072341918945
62795.005,3.095949172973633,6.430021286010742,4.92554235458374
62895.005,3.6105527877807617,5.3960490226745605,3.721266984939575
62995.005,2.8423407077789307,6.966094970703125,3.919337511062622
63095.005,3.286741018295288,4.716786861419678,3.4952359199523926
63195.005,3.574805974960327,4.178432464599609,4.347530841827393
63295.005,3.7069177627563477,6.367584705352783,4.965076923370361
63395.005,3.642029285430908,5.26094388961792,5.1316633224487305
63495.005,3.9285831451416016,3.814479112625122,4.0474700927734375
63595.005,3.2667222023010254,4.018353462219238,4.740358352661133
63695.005,2.8467204570770264,3.6593034267425537,4.149174213409424
63795.005,3.879581928253174,3.5108628273010254,4.682172775268555
63895.005,3.9494590759277344,3.589951276779175,4.740438461303711
63995.005,3.5409960746765137,4.63131856918335,4.319348335266113
64095.005,2.651052474975586,3.805528163909912,3.3719351291656494
64195.005,3.5914015769958496,5.039717197418213,4.24626350402832
64295.005,2.530895709991455,3.966855764389038,3.586515188217163
64395.005,3.1017751693725586,4.411397457122803,4.153374671936035
