timestamp(ms),IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,IMU[0].GyrZ,IMU[0].GyrY,IMU[0].GyrX
56995.851,-0.215246319770813,0.45972731709480286,-9.890145301818848,0.0012113205157220364,-0.0018547207582741976,-0.0005684103234671056
57095.851,-0.21803143620491028,0.45842310786247253,-9.896425247192383,0.0008370331488549709,-0.0014113271608948708,-0.0008749219123274088
57195.851,-0.21722473204135895,0.4574812650680542,-9.892200469970703,0.00011850511509692296,-0.000755836081225425,-0.0006834347732365131
57295.851,-0.21539954841136932,0.4610797166824341,-9.90522289276123,0.0004993487382307649,-0.0017225025221705437,-0.0005975349922664464
57395.851,-0.22140556573867798,0.463030070066452,-9.899724960327148,0.0005083162686787546,-0.0010631999466568232,-0.0010509247658774257
57495.851,-0.21678052842617035,0.4590342938899994,-9.899177551269531,0.0006191161810420454,-0.00109019223600626,-0.0007153372862376273
57595.851,-0.21992802619934082,0.46389955282211304,-9.892784118652344,0.0001785125205060467,-0.0013021496124565601,-0.0004368257359601557
57695.851,-0.21656830608844757,0.4620266854763031,-9.90071964263916,0.0007400267058983445,-0.0013950681313872337,-0.0019390078959986567
57795.851,-0.21563765406608582,0.4681161344051361,-9.892152786254883,0.0004145448037888855,-0.0008115173550322652,-0.0006090556853450835
57895.851,-0.21755053102970123,0.4555755853652954,-9.897268295288086,0.0002415084163658321,-0.00127084378618747,-0.0005479521933011711
57995.851,-0.21602195501327515,0.459358274936676,-9.90212345123291,0.0005034197238273919,-0.0011864604894071817,-0.0006243943935260177
58095.851,-0.22025832533836365,0.4575788080692291,-9.901806831359863,0.000030148858058964834,-0.0012116713915020227,-0.0013059736229479313
58195.851,-0.21828605234622955,0.4565480649471283,-9.896464347839355,0.0002651013492140919,-0.0009419032139703631,-0.0008724744548089802
58295.851,-0.22125759720802307,0.4640219807624817,-9.894943237304688,0.0007672829087823629,-0.0015767895383760333,-0.0009757537627592683
58395.851,-0.21702370047569275,0.4514111280441284,-9.898677825927734,0.000813109683804214,-0.001289094565436244,-0.000980208977125585
58495.851,-0.21699988842010498,0.4615255892276764,-9.891057014465332,0.000615286233369261,-0.0005901281256228685,-0.0007593598566018045
58595.851,-0.2195446640253067,0.45926520228385925,-9.9013671875,0.0018593082204461098,-0.001409746240824461,-0.0010717472760006785
58695.851,-0.2216244637966156,0.45996302366256714,-9.89255428314209,0.0014580341521650553,-0.001704864320345223,0.00030337777570821345
58795.851,-0.21807622909545898,0.46651527285575867,-9.892767906188965,0.00019772381347138435,-0.0009713635081425309,-0.0011030312161892653
58895.851,-0.21213115751743317,0.46479421854019165,-9.897823333740234,0.0005914389039389789,-0.00078181381104514,-0.0007583374390378594
58995.851,-0.22183428704738617,0.4578867554664612,-9.89476490020752,0.0006105469074100256,-0.0014455305645242333,-0.00036643221392296255
59095.851,-0.21046680212020874,0.4677402377128601,-9.902074813842773,0.000003064844122491195,-0.0015460524009540677,-0.0003834060044027865
59195.851,-0.21849048137664795,0.46231505274772644,-9.897659301757812,0.00046426168410107493,-0.001122004701755941,-0.0001038314076140523
59295.851,-0.21722286939620972,0.4649367034435272,-9.897812843322754,0.0010074551682919264,-0.0015365000581368804,-0.0008768532425165176
