,Frequencies,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59
0,20.0,0.9252935051913943,0.9798325197370661,0.8051255968757162,1.0,0.35669824252606475,0.7117257538800313,0.9768591755528773,1.0,1.0,0.949296358027307,0.956559187977833,0.6997112634509597,0.26553935718483546,0.5488919215912859,0.8318285509597161,1.0,1.0,1.0,1.0,1.0,0.8807766873125819,1.0,0.8432716316710802,1.0,0.9522571646336743,0.5825077402554764,0.9509379364871265,1.0,0.8740255916108557,0.6379000817258104,0.6426900483755321,0.8458293341512138,0.723948455503555,1.0,1.0,0.2568013346426397,0.725373908713662,0.6266002224034177,0.9591703391509673,0.39564535680106516,1.0,1.0,1.0,1.0,0.8135938694184248,0.8905303987844266,1.0,1.0,0.7599805226749845,0.764802335139125,1.0,1.0,0.7815148269206312,0.6069318790365495,0.26658847468952795,0.33799387894133426,0.436002886759637,0.5191339882689568,0.10214166937947916
1,22.0,0.17991327208701557,1.0,0.8943405869218821,0.9284256987182945,0.6714486189623552,0.7695650541789205,1.0,0.855222557489528,0.8539799625614645,0.7590028714553665,0.8755398004341649,0.25939495107420657,0.3821305962659819,0.20051390235700547,0.9256504939356986,0.3234057454347516,0.8146487302044517,0.6591023023887328,0.6562056123866608,0.5172969694866708,0.6916868905772775,0.9611353789945285,1.0,0.9415725411805193,1.0,0.7925339864481126,0.9939654948577875,0.9230193142695328,0.8372763773483347,0.4225069103479732,0.46306447578578763,0.7025763328550632,0.2694683858712734,0.40947597590432455,0.8823769300401617,0.41552488970994694,0.4971847418766941,0.42320936790691394,0.9325839396670224,0.11840233299390937,0.9062349773695907,0.7568828785783971,0.7531851828101638,0.8070288485879751,0.4661466220410353,0.5786019796667216,0.9312347370684513,0.8332459285109579,0.3372466775254328,0.7654532033585589,0.7768188441267836,0.7808971413047708,0.40175399083829644,0.6345601545231077,0.39625296752019645,0.47428539447912155,0.22119615864260597,0.6235162819422118,0.3731578979769832
2,24.0,0.8629187399365218,0.9799708041112298,1.0,0.5816288283067638,1.0,0.9628701344450333,0.9540352936822665,0.889511506929348,0.9230077276310797,0.25016046401194886,0.6615057224016994,0.9887910454011529,1.0,0.726962503124025,0.5097029416583796,0.7129925677366961,0.6517292895439595,0.18652481984518332,0.20431010122534943,0.47797371897805546,0.8816122688235235,0.9952736005681457,0.9443188255609889,0.5742979037133215,0.9000300054104929,1.0,1.0,0.9260821672884596,0.8290437533790136,0.8203763702690317,0.8557773388138952,0.7347539643731397,0.3827181515925318,0.45843007680012576,0.43937185312063765,0.624162068752898,0.3000292682250706,0.32821722418685145,0.7276285149324784,0.5879608729501483,0.850698620669874,0.6076986811210788,0.36682229708865194,0.47697763858815284,0.7552755047774226,0.8230094278653783,0.7984769834062118,0.7643901687479677,0.9363799577031782,0.5969661231754095,0.4457854259110131,0.1887409695267954,0.7657060779676828,1.0,0.9304519198370459,0.6014840336394373,0.32909997261310825,0.959547538407502,0.8944513285573462
3,26.0,0.9919710597754688,0.8839059803989046,0.9682967904692341,0.36508039680336873,0.9746838797668289,1.0,0.8857807291170109,0.9687727851040558,0.9958790298289082,0.001365924351337321,0.7256590710349725,0.8774781936575842,0.9742148234279577,1.0,0.1420652235823834,0.8484019754824735,0.4483335575625157,0.16696329814984134,0.23595543546453304,0.8365319266367448,0.6273406290053786,0.9889987086357102,0.7045000211162974,0.3249472034486849,0.7844169375322138,0.8929403432057386,0.9336520195168585,0.9398082703151939,0.6441990606988685,1.0,1.0,0.6973733508324756,0.5220539320537342,0.5165991583123798,0.5483674849376654,0.6760986852800736,0.5466790191690151,0.46240086935225033,0.8674684042443491,1.0,0.897334112963223,0.6616536979879944,0.5248907756292116,0.28027654931597723,1.0,1.0,0.7251832541175215,0.8020338005573039,1.0,0.3065065469719351,0.5180852355795121,0.11895582590518117,0.9979949396138718,0.875255939982562,0.7879009400138836,0.5640290901402809,0.5440948696735673,1.0,1.0
4,28.0,0.3834889245758881,0.8523932874241055,0.8140644168623817,0.7090133544186221,0.6170669184981541,0.7281561022349489,0.84063159158035,0.8843879534293912,0.9140868398888043,0.123992494372414,0.3809487532570304,0.0712202149365304,0.31244245602475534,0.889137000823455,0.5734886038445661,0.22559676435108075,0.2132449756748604,0.18475813832322852,0.17987118585667777,0.5582970510207828,0.6190138358535573,0.8937240427982928,0.5127782319706791,0.6447462957605874,0.6057134505618956,0.6373484950965653,0.8264093010316619,0.8604299763170957,0.7967574838658852,0.6678821783132736,0.5907513192270405,0.4337453643068174,0.17586385051766906,0.08672168251410216,0.49106521508600176,0.731552272988506,0.6036589207888361,0.5196296303813398,1.0,0.8273722562977686,0.8309953856521305,0.7904400570129344,0.7469781645471941,0.6776315965019244,0.7427809033581514,0.7755749577996894,0.7469546013793201,0.6977694191540926,0.34124026934107987,0.2670521658426178,0.45583841162326966,0.16674828892980953,0.6069382868546139,0.3733623993442574,0.2757388377944673,0.3112250761540939,0.6841474668402885,0.5744768164475555,0.7765306682170628
5,30.0,0.29381005328607107,0.9062774419951805,0.6852564295405354,0.8749577629868183,0.27128945631734297,0.38493700341230797,0.7965484556803728,0.7027162375508011,0.8718139700301691,0.33840302539042344,0.23098901472779854,0.6273894454008065,0.6283773589994655,0.8237125356623393,0.7233903346030762,0.4256251743700474,0.40472862589312963,0.16092010809326895,0.3443836234788074,0.224240869544615,1.0,0.7856205645879777,0.6325964142579293,0.7957307337051435,0.6110340472619741,0.5116697347477489,0.7381496377670852,0.7342178626725927,1.0,0.2756240949993621,0.7002208230203544,0.5899881960252227,0.1779892989369236,0.5568997039627498,0.18754253958224884,0.9459368025227909,0.46479812828509376,0.5844381840509867,0.6783177310231309,0.43828626772832274,0.6181618391689322,0.8674670587463239,0.7185165709592425,0.9680671475567575,0.37945432287129255,0.3739005431704355,0.7521519660542664,0.5321600953265327,0.3972715769853895,0.5920313004248906,0.24843622845394642,0.6724855388242261,0.09991941316713937,0.5089444284541879,0.9518473624579941,0.15321044258895383,0.657410564357212,0.19291467827476655,0.6541404049011942
6,32.0,0.28270562268054483,0.8908768577648918,0.6870784323494293,0.6977528792238736,0.22899899674464302,0.5992536917719776,0.7031040113526588,0.5940728899462062,0.8785525188819724,0.3700769354439866,0.2733552055066797,0.5558859682462417,0.882190318376802,0.7626348624216225,0.3239750000934636,0.48436902733694887,0.3646453170314018,0.13329970129690297,0.37587850171198645,0.3438363704295909,0.8147251578536379,0.7039040804229602,0.7493196957246365,0.6477199146344848,0.7784882461818069,0.6166919769170875,0.6702707886540963,0.6399306647312115,0.7358295685219791,0.1546361440742455,0.9555560065285306,0.7058374303283496,0.10932043199997456,0.6065901354244473,0.3216504427117598,1.0,0.3890598878641175,0.622049591476123,0.3072465890056697,0.24942587763419716,0.5642135159888688,0.7866861627153565,0.508962497756563,0.8258851548119781,0.5980076314598693,0.4354221803176816,0.6532841196648684,0.5085825101638244,0.5052057383513767,0.5043558636583293,0.13598037117072764,0.8919562515718901,0.5722769189427149,0.43011782922067043,0.8866215447124857,0.31649257862431673,0.4917368987009915,0.43934769911462973,0.4969737179152806
7,34.0,0.32017614623481216,0.7870366345977795,0.7337117057029933,0.39051560365847393,0.4138271321689494,0.7337448617414158,0.5749436147230943,0.5500193677110712,0.7988085868078646,0.354765318876993,0.28784057886487247,0.40420900326766535,0.5502249888414781,0.45912271667568505,0.3178900441398416,0.034481981938856335,0.291568508190057,0.01013456907774843,0.0902978174132256,0.09069886551202781,0.5719090606815267,0.6123850024764412,0.6623022796200835,0.3567965645138095,0.7836803134300979,0.6976631916618269,0.6001138526136695,0.56798353015204,0.5753150209279349,0.12264815983400641,0.6621484381696605,0.7458698628898839,0.35414399959618903,0.38634577942760684,0.3476618821501925,0.8008437641468924,0.5151064501918577,0.6531761587049287,0.712773025285736,0.18094893569062603,0.6695232166956465,0.56567404380029,0.23804657133424603,0.37320788096104385,0.7392182207711209,0.6405737850104505,0.49959919791404234,0.4716805682317464,0.06122481038885845,0.3714277861748286,0.21571680122627943,0.6364174350325036,0.628362219364396,0.354949016603416,0.4932204420179988,0.7047884866011824,0.5356525004672711,0.41492534731116776,0.2121714505619034
8,36.0,0.7380955555434792,0.7121834359243246,0.7052214983043821,0.4049013394148859,0.5447677709044637,0.5163399485215932,0.4791444117863399,0.4732275330795115,0.6554790965123011,0.4529368329429645,0.649532185443774,0.8511833660877209,0.19196789419200705,0.07062468658332777,0.640595460011901,0.4254895355819381,0.41408857406740707,0.16263528972106794,0.2285391950395283,0.3055411314262575,0.7407564853217651,0.519238966908606,0.4109151443392843,0.2534789115287019,0.5985392445278914,0.5894257554268746,0.5323205697871471,0.49714382463162043,0.7238944832585202,0.33886888678033683,0.15579809328591043,0.7046491403385744,0.7765947070173465,0.5572289803258496,0.14760963643439073,0.6074175849377916,0.6495871900798554,0.7213910929422617,0.8258670314092359,0.5295020976890873,0.641252844494083,0.3573867070134441,0.17505983935907748,0.17862237104144083,0.5898529186867901,0.5894481744052655,0.41398094440680416,0.36525916070627423,0.43197470738998456,0.4637424659259562,0.378020852846584,0.426315486070831,0.37327346941053574,0.6039393817339693,0.9702264712337799,0.9479002085627805,0.8231836164752316,0.2579529018840134,0.20246306215055537
9,38.0,0.5534192497773326,0.682927862610388,0.5838560456184309,0.5193808682441604,0.4123904142663997,0.29644610119953696,0.44633328437462666,0.40760248116700587,0.6093626012803599,0.6883620289442747,0.5948852396181017,0.6126875167127394,0.26746516289720423,0.24601964470346185,0.5682243017758208,0.3849619469625351,0.2272312174026507,0.15235856161805703,0.3278719673695729,0.4505247242678323,0.6326493177976373,0.4802275529235151,0.19233299799208645,0.3941248531610145,0.36330216243218894,0.37174105797670465,0.47284773578235306,0.44300283607206575,0.5553050340813867,0.1848144440483874,0.40601794138689545,0.2954598202053446,0.6578469934595823,0.47844930986368683,0.045633050467403506,0.5470688533046157,0.628926286500413,0.6826966491598901,0.531805245579169,0.6758421238504974,0.5188283264554377,0.34200883806516064,0.41897270608492104,0.435518662865228,0.34396810707149555,0.31461052292017067,0.41063962222560646,0.3814484651775907,0.418979878551148,0.36400794653192714,0.5234928096718157,0.5865771719426415,0.08732750785470177,0.3720560678487845,0.939504906550955,0.8579567591640075,1.0,0.2045052800522631,0.2712953908062149
